project_id,project_name,description,department,state,sector,original_cost_lakhs,revised_cost_lakhs,expenditure_lakhs,physical_progress_pct,start_date,target_completion_date,revised_completion_date,status
PRJ-024,Rajasthan Power Substation Upgrade Jaipur,"Upgrading the 132/33 kV power substation in Jaipur, Rajasthan, to improve distribution capacity.",Ministry of New and Renewable Energy,Rajasthan,Energy,3339.71,3570.3,3343.86,96.6,2023-06-17,2025-02-04,,Completed
PRJ-025,Tamil Nadu Drainage Improvement Scheme 25,"Improvement of storm water drainage system in Madurai town, Tamil Nadu, covering 48 km.",Ministry of Jal Shakti,Tamil Nadu,Water,1194.1,1199.04,506.77,36.91,2025-10-12,2028-04-11,,In Progress
PRJ-026,Tamil Nadu Flyover at Madurai Junction,"Construction of a multi-lane flyover at Madurai junction, Tamil Nadu, to reduce traffic congestion.",Ministry of Road Transport and Highways,Tamil Nadu,Transport,1020.41,1158.09,1158.09,95.2,2019-04-01,2022-03-26,,Completed
PRJ-027,Gujarat Wind Energy Project Phase 27,"Installation of wind turbines with 27 MW capacity in Ahmedabad district, Gujarat.",Ministry of New and Renewable Energy,Gujarat,Energy,3452.86,3825.64,3376.37,94.02,2020-09-25,2023-08-08,,Completed
PRJ-028,Uttar Pradesh Wind Energy Project Phase 28,"Installation of wind turbines with 28 MW capacity in Kanpur district, Uttar Pradesh.",Ministry of New and Renewable Energy,Uttar Pradesh,Energy,1861.87,2094.71,1688.93,85.17,2020-03-06,2022-05-20,2022-10-10,In Progress
PRJ-029,Bihar College Infrastructure Upgrade Darbhanga,"Upgrading infrastructure of government degree college in Darbhanga, Bihar, including labs and library.",Ministry of Education,Bihar,Education,870.09,952.7,799.54,92.25,2023-03-19,2024-11-13,,Completed
PRJ-030,Maharashtra Rural Road Connectivity Phase 30,"Construction of rural all-weather roads connecting 24 villages in Aurangabad district, Maharashtra, under PMGSY.",Ministry of Road Transport and Highways,Maharashtra,Transport,3090.52,3423.53,3423.53,96.88,2021-03-29,2022-12-03,,Completed
PRJ-031,Madhya Pradesh Rural Road Connectivity Phase 31,"Construction of rural all-weather roads connecting 74 villages in Indore district, Madhya Pradesh, under PMGSY.",Ministry of Road Transport and Highways,Madhya Pradesh,Transport,4628.62,4712.88,3716.18,12.55,2021-08-09,2023-10-12,2024-10-10,In Progress
PRJ-032,Madhya Pradesh Community Health Center Indore,"Establishment of a 30-bed community health center in Indore district, Madhya Pradesh.",Ministry of Health and Family Welfare,Madhya Pradesh,Health,2147.7,2237.04,2237.04,94.4,2021-09-19,2024-06-21,,Completed
PRJ-033,Rajasthan Rural Electrification Scheme 33,"Electrification of 25 un-electrified households in Udaipur district, Rajasthan.",Ministry of New and Renewable Energy,Rajasthan,Energy,1778.93,1819.7,1496.33,94.66,2021-04-29,2023-06-20,,Completed
PRJ-034,Madhya Pradesh Government School Construction Ujjain,"Construction of a new government senior secondary school with 8 classrooms in Ujjain, Madhya Pradesh.",Ministry of Education,Madhya Pradesh,Education,1179.52,1330.52,323.47,23.98,2026-01-01,2029-07-05,,In Progress
PRJ-035,Uttar Pradesh Community Health Center Agra,"Establishment of a 30-bed community health center in Agra district, Uttar Pradesh.",Ministry of Health and Family Welfare,Uttar Pradesh,Health,1039.48,1145.37,628.65,54.33,2019-12-05,2022-03-27,,Stalled
PRJ-036,Odisha Government School Construction Bhubaneswar,"Construction of a new government senior secondary school with 12 classrooms in Bhubaneswar, Odisha.",Ministry of Education,Odisha,Education,436.25,453.27,418.04,98.8,2021-07-20,2023-06-19,,Completed
PRJ-037,Rajasthan Government School Construction Kota,"Construction of a new government senior secondary school with 19 classrooms in Kota, Rajasthan.",Ministry of Education,Rajasthan,Education,289.2,330.73,267.21,90.2,2019-03-05,2020-11-12,,Completed
PRJ-038,Kerala Solar Power Plant 38 MW,"Installation of a 38 MW solar photovoltaic power plant in Kollam district, Kerala.",Ministry of New and Renewable Energy,Kerala,Energy,1004.04,1095.5,915.26,8.12,2019-08-23,2021-02-05,,In Progress
PRJ-039,Madhya Pradesh College Infrastructure Upgrade Bhopal,"Upgrading infrastructure of government degree college in Bhopal, Madhya Pradesh, including labs and library.",Ministry of Education,Madhya Pradesh,Education,1305.38,1422.94,1289.46,94.28,2022-03-05,2023-04-16,,Completed
PRJ-040,Bihar Medical College Expansion Patna,"Expansion of government medical college in Patna, Bihar, adding 23 seats and hostel.",Ministry of Health and Family Welfare,Bihar,Health,2413.73,2643.85,61.68,2.18,2026-05-29,2028-10-31,,Planning
PRJ-041,Odisha Irrigation Canal Modernization 41,"Modernization and lining of irrigation canal network in Berhampur district, Odisha, covering 59 km.",Ministry of Jal Shakti,Odisha,Water,2542.97,2576.03,765.53,28.29,2025-10-03,2029-01-20,,In Progress
PRJ-042,Maharashtra Irrigation Canal Modernization 42,"Modernization and lining of irrigation canal network in Nagpur district, Maharashtra, covering 27 km.",Ministry of Jal Shakti,Maharashtra,Water,1218.91,1379.86,1202.04,99.48,2020-07-19,2023-02-08,,Completed
PRJ-043,Kerala College Infrastructure Upgrade Thrissur,"Upgrading infrastructure of government degree college in Thrissur, Kerala, including labs and library.",Ministry of Education,Kerala,Education,320.97,331.64,317.08,94.73,2020-09-19,2023-07-30,,Completed
PRJ-044,Andhra Pradesh District Library Construction Tirupati,"Construction of a modern district public library in Tirupati, Andhra Pradesh, with digital resource center.",Ministry of Education,Andhra Pradesh,Education,499.7,553.76,221.91,44.16,2023-03-02,2025-08-31,,Stalled
PRJ-045,Rajasthan District Library Construction Jaipur,"Construction of a modern district public library in Jaipur, Rajasthan, with digital resource center.",Ministry of Education,Rajasthan,Education,433.27,720.59,181.06,39.37,2020-07-15,2021-08-30,,Stalled
PRJ-046,Tamil Nadu Government School Construction Tiruchirappalli,"Construction of a new government senior secondary school with 23 classrooms in Tiruchirappalli, Tamil Nadu.",Ministry of Education,Tamil Nadu,Education,439.67,443.06,140.74,32.74,2026-01-31,2028-05-26,,In Progress
PRJ-047,Odisha State Highway 47 Widening,"Widening and strengthening of state highway 47 in Cuttack district, Odisha, from 2-lane to 4-lane configuration.",Ministry of Road Transport and Highways,Odisha,Transport,3011.33,3199.32,2855.52,79.51,2022-06-20,2024-02-06,2024-05-22,In Progress
PRJ-048,Madhya Pradesh Medical College Expansion Ujjain,"Expansion of government medical college in Ujjain, Madhya Pradesh, adding 27 seats and hostel.",Ministry of Health and Family Welfare,Madhya Pradesh,Health,2384.7,2459.03,1968.33,91.74,2022-09-14,2023-12-06,,Completed
PRJ-049,Madhya Pradesh Flyover at Ujjain Junction,"Construction of a multi-lane flyover at Ujjain junction, Madhya Pradesh, to reduce traffic congestion.",Ministry of Road Transport and Highways,Madhya Pradesh,Transport,3681.3,4069.49,2008.48,47.57,2022-11-08,2024-07-04,,Stalled
PRJ-050,Madhya Pradesh Solar Power Plant 50 MW,"Installation of a 50 MW solar photovoltaic power plant in Ujjain district, Madhya Pradesh.",Ministry of New and Renewable Energy,Madhya Pradesh,Energy,16659.64,31153.37,25533.53,9.38,2023-03-14,2023-12-06,2024-09-21,In Progress
PRJ-051,Odisha Drainage Improvement Scheme 51,"Improvement of storm water drainage system in Bhubaneswar town, Odisha, covering 58 km.",Ministry of Jal Shakti,Odisha,Water,1885.23,1891.1,1828.63,97.56,2020-07-05,2023-02-15,,Completed
PRJ-052,Rajasthan College Infrastructure Upgrade Ajmer,"Upgrading infrastructure of government degree college in Ajmer, Rajasthan, including labs and library.",Ministry of Education,Rajasthan,Education,730.85,766.05,762.84,94.95,2019-11-26,2021-10-28,,Completed
PRJ-053,West Bengal Government School Construction Durgapur,"Construction of a new government senior secondary school with 16 classrooms in Durgapur, West Bengal.",Ministry of Education,West Bengal,Education,1461.24,1549.83,1094.86,81.55,2019-01-03,2021-11-06,2022-04-17,In Progress
PRJ-054,Odisha Irrigation Canal Modernization 54,"Modernization and lining of irrigation canal network in Berhampur district, Odisha, covering 22 km.",Ministry of Jal Shakti,Odisha,Water,653.74,681.98,86.38,12.19,2026-02-04,2028-06-07,,In Progress
PRJ-055,Andhra Pradesh Power Substation Upgrade Tirupati,"Upgrading the 132/33 kV power substation in Tirupati, Andhra Pradesh, to improve distribution capacity.",Ministry of New and Renewable Energy,Andhra Pradesh,Energy,18585.98,19575.48,17190.91,82.46,2019-08-29,2022-06-22,2022-11-29,In Progress
PRJ-056,Kerala College Infrastructure Upgrade Thrissur,"Upgrading infrastructure of government degree college in Thrissur, Kerala, including labs and library.",Ministry of Education,Kerala,Education,860.71,974.24,236.54,22.35,2025-10-20,2028-12-17,,In Progress
PRJ-057,Maharashtra Drainage Improvement Scheme 57,"Improvement of storm water drainage system in Nagpur town, Maharashtra, covering 33 km.",Ministry of Jal Shakti,Maharashtra,Water,1607.72,1687.89,974.17,50.44,2021-02-11,2023-05-23,,Stalled
PRJ-058,Odisha Wind Energy Project Phase 58,"Installation of wind turbines with 58 MW capacity in Cuttack district, Odisha.",Ministry of New and Renewable Energy,Odisha,Energy,2938.82,3296.51,1289.89,41.62,2022-09-21,2024-02-02,2024-12-29,In Progress
PRJ-059,Tamil Nadu Skill Development Center Chennai,"Establishment of a vocational skill development center in Chennai district, Tamil Nadu.",Ministry of Education,Tamil Nadu,Education,1460.94,1477.34,1213.47,93.97,2020-06-26,2022-06-07,,Completed
PRJ-060,Bihar Irrigation Canal Modernization 60,"Modernization and lining of irrigation canal network in Bhagalpur district, Bihar, covering 7 km.",Ministry of Jal Shakti,Bihar,Water,484.74,530.63,183.88,39.4,2025-09-25,2027-12-26,,In Progress
PRJ-061,Kerala Rural Road Connectivity Phase 61,"Construction of rural all-weather roads connecting 20 villages in Kozhikode district, Kerala, under PMGSY.",Ministry of Road Transport and Highways,Kerala,Transport,1820.15,1922.49,1696.3,97.93,2021-12-23,2024-02-17,,Completed
PRJ-062,Odisha Flyover at Sambalpur Junction,"Construction of a multi-lane flyover at Sambalpur junction, Odisha, to reduce traffic congestion.",Ministry of Road Transport and Highways,Odisha,Transport,1544.85,1692.67,1293.7,81.63,2022-09-27,2023-10-06,2024-03-23,In Progress
PRJ-063,Tamil Nadu Wind Energy Project Phase 63,"Installation of wind turbines with 63 MW capacity in Madurai district, Tamil Nadu.",Ministry of New and Renewable Energy,Tamil Nadu,Energy,1300.35,1465.23,1316.37,93.81,2021-02-26,2023-07-05,,Completed
PRJ-064,Andhra Pradesh Drainage Improvement Scheme 64,"Improvement of storm water drainage system in Vijayawada town, Andhra Pradesh, covering 5 km.",Ministry of Jal Shakti,Andhra Pradesh,Water,2635.68,2943.39,2195.84,12.76,2026-04-07,2029-08-27,,In Progress
PRJ-065,Uttar Pradesh Water Treatment Plant Allahabad,"Construction of a 45 MLD water treatment plant in Allahabad district, Uttar Pradesh.",Ministry of Jal Shakti,Uttar Pradesh,Water,2045.12,2139.89,1825.6,90.9,2022-04-01,2024-04-08,,Completed
PRJ-066,Karnataka College Infrastructure Upgrade Mysuru,"Upgrading infrastructure of government degree college in Mysuru, Karnataka, including labs and library.",Ministry of Education,Karnataka,Education,1279.61,1328.93,325.77,25.76,2026-02-02,2028-11-30,,In Progress
PRJ-067,Kerala State Highway 67 Widening,"Widening and strengthening of state highway 67 in Kochi district, Kerala, from 2-lane to 4-lane configuration.",Ministry of Road Transport and Highways,Kerala,Transport,4909.74,5622.1,1905.54,39.68,2025-12-05,2028-03-06,,In Progress
PRJ-068,Tamil Nadu Community Health Center Madurai,"Establishment of a 30-bed community health center in Madurai district, Tamil Nadu.",Ministry of Health and Family Welfare,Tamil Nadu,Health,2368.64,2407.13,2274.96,84.04,2019-02-21,2021-11-16,2022-02-10,In Progress
PRJ-069,Bihar Flyover at Bhagalpur Junction,"Construction of a multi-lane flyover at Bhagalpur junction, Bihar, to reduce traffic congestion.",Ministry of Road Transport and Highways,Bihar,Transport,4758.18,4975.41,3600.67,73.39,2019-07-19,2021-03-15,2021-08-30,In Progress
PRJ-070,Odisha College Infrastructure Upgrade Berhampur,"Upgrading infrastructure of government degree college in Berhampur, Odisha, including labs and library.",Ministry of Education,Odisha,Education,1420.77,1480.39,1310.96,92.36,2020-03-20,2022-06-17,,Completed
PRJ-071,West Bengal Drainage Improvement Scheme 71,"Improvement of storm water drainage system in Kolkata town, West Bengal, covering 12 km.",Ministry of Jal Shakti,West Bengal,Water,547.52,564.94,381.62,76.09,2019-02-13,2020-04-04,2020-09-25,In Progress
PRJ-072,Tamil Nadu Power Substation Upgrade Tiruchirappalli,"Upgrading the 132/33 kV power substation in Tiruchirappalli, Tamil Nadu, to improve distribution capacity.",Ministry of New and Renewable Energy,Tamil Nadu,Energy,19358.95,34441.92,29800.19,97.99,2019-10-24,2021-03-05,,Completed
PRJ-073,Odisha Rural Electrification Scheme 73,"Electrification of 48 un-electrified households in Bhubaneswar district, Odisha.",Ministry of New and Renewable Energy,Odisha,Energy,2293.91,2550.48,2325.91,91.09,2023-05-13,2025-05-17,,Completed
PRJ-074,Maharashtra Medical College Expansion Aurangabad,"Expansion of government medical college in Aurangabad, Maharashtra, adding 9 seats and hostel.",Ministry of Health and Family Welfare,Maharashtra,Health,1237.8,1257.85,878.18,78.05,2021-06-27,2022-09-10,2022-11-11,In Progress
PRJ-075,Odisha Drainage Improvement Scheme 75,"Improvement of storm water drainage system in Berhampur town, Odisha, covering 37 km.",Ministry of Jal Shakti,Odisha,Water,1461.54,1635.41,1520.38,83.78,2022-09-02,2025-06-29,2025-11-16,In Progress
PRJ-076,Uttar Pradesh Skill Development Center Varanasi,"Establishment of a vocational skill development center in Varanasi district, Uttar Pradesh.",Ministry of Education,Uttar Pradesh,Education,606.31,634.73,155.98,22.35,2019-11-09,2022-10-12,,Stalled
PRJ-077,Madhya Pradesh State Highway 77 Widening,"Widening and strengthening of state highway 77 in Jabalpur district, Madhya Pradesh, from 2-lane to 4-lane configuration.",Ministry of Road Transport and Highways,Madhya Pradesh,Transport,4804.81,5209.63,4759.92,93.53,2021-04-21,2023-04-18,2023-05-31,In Progress
PRJ-078,Odisha Drainage Improvement Scheme 78,"Improvement of storm water drainage system in Rourkela town, Odisha, covering 14 km.",Ministry of Jal Shakti,Odisha,Water,12944.8,13784.62,11739.95,92.79,2022-02-13,2024-02-24,,Completed
PRJ-079,Odisha District Hospital Upgrade Sambalpur,"Upgrading the district hospital in Sambalpur, Odisha, with additional wards and modern equipment.",Ministry of Health and Family Welfare,Odisha,Health,1845.94,1931.5,1577.17,84.16,2019-01-13,2020-07-16,2020-09-20,In Progress
PRJ-080,Tamil Nadu Rural Road Connectivity Phase 80,"Construction of rural all-weather roads connecting 73 villages in Salem district, Tamil Nadu, under PMGSY.",Ministry of Road Transport and Highways,Tamil Nadu,Transport,1902.37,1994.93,497.11,27.79,2026-04-02,2028-06-26,,In Progress
PRJ-081,Maharashtra District Hospital Upgrade Nagpur,"Upgrading the district hospital in Nagpur, Maharashtra, with additional wards and modern equipment.",Ministry of Health and Family Welfare,Maharashtra,Health,1211.2,1250.36,1243.91,96.78,2020-12-07,2023-02-20,,Completed
PRJ-082,Bihar Medical College Expansion Patna,"Expansion of government medical college in Patna, Bihar, adding 27 seats and hostel.",Ministry of Health and Family Welfare,Bihar,Health,749.73,856.04,780.1,91.2,2023-04-15,2024-12-31,,Completed
PRJ-083,Karnataka College Infrastructure Upgrade Mangaluru,"Upgrading infrastructure of government degree college in Mangaluru, Karnataka, including labs and library.",Ministry of Education,Karnataka,Education,1248.06,1261.55,340.88,23.99,2025-06-22,2028-09-10,,In Progress
PRJ-084,Odisha Irrigation Canal Modernization 84,"Modernization and lining of irrigation canal network in Sambalpur district, Odisha, covering 12 km.",Ministry of Jal Shakti,Odisha,Water,356.31,373.67,17.5,4.16,2026-04-13,2029-07-27,,Planning
PRJ-085,Madhya Pradesh State Highway 85 Widening,"Widening and strengthening of state highway 85 in Indore district, Madhya Pradesh, from 2-lane to 4-lane configuration.",Ministry of Road Transport and Highways,Madhya Pradesh,Transport,20163.42,21818.8,19454.62,8.51,2023-05-15,2024-04-19,2024-11-22,In Progress
PRJ-086,Tamil Nadu Power Substation Upgrade Madurai,"Upgrading the 132/33 kV power substation in Madurai, Tamil Nadu, to improve distribution capacity.",Ministry of New and Renewable Energy,Tamil Nadu,Energy,671.27,767.06,702.28,81.22,2021-08-08,2024-03-07,2024-08-28,In Progress
PRJ-087,Gujarat Medical College Expansion Surat,"Expansion of government medical college in Surat, Gujarat, adding 23 seats and hostel.",Ministry of Health and Family Welfare,Gujarat,Health,966.2,1006.01,824.48,94.52,2021-11-05,2023-01-19,,Completed
PRJ-088,Tamil Nadu Water Pipeline Extension Tiruchirappalli,Laying of 34 km water supply pipeline from Tiruchirappalli reservoir to surrounding villages in Tamil Nadu.,Ministry of Jal Shakti,Tamil Nadu,Water,1796.65,2010.04,377.63,19.85,2026-01-17,2029-08-24,,In Progress
PRJ-089,West Bengal College Infrastructure Upgrade Kolkata,"Upgrading infrastructure of government degree college in Kolkata, West Bengal, including labs and library.",Ministry of Education,West Bengal,Education,855.91,878.06,809.36,96.1,2021-06-15,2023-09-07,,Completed
PRJ-090,Madhya Pradesh Irrigation Canal Modernization 90,"Modernization and lining of irrigation canal network in Jabalpur district, Madhya Pradesh, covering 46 km.",Ministry of Jal Shakti,Madhya Pradesh,Water,477.96,484.74,484.74,96.57,2020-08-04,2022-04-19,,Completed
PRJ-091,Gujarat Solar Power Plant 91 MW,"Installation of a 91 MW solar photovoltaic power plant in Gandhinagar district, Gujarat.",Ministry of New and Renewable Energy,Gujarat,Energy,2914.53,3085.89,2593.89,6.28,2019-06-23,2021-05-05,,In Progress
PRJ-092,Tamil Nadu Community Health Center Tiruchirappalli,"Establishment of a 30-bed community health center in Tiruchirappalli district, Tamil Nadu.",Ministry of Health and Family Welfare,Tamil Nadu,Health,2392.57,2515.21,600.2,25.42,2020-01-29,2021-09-16,,Stalled
PRJ-093,West Bengal State Highway 93 Widening,"Widening and strengthening of state highway 93 in Siliguri district, West Bengal, from 2-lane to 4-lane configuration.",Ministry of Road Transport and Highways,West Bengal,Transport,1230.11,1383.51,1380.86,93.64,2019-12-06,2022-02-26,,Completed
PRJ-094,Odisha District Library Construction Berhampur,"Construction of a modern district public library in Berhampur, Odisha, with digital resource center.",Ministry of Education,Odisha,Education,1375.17,1415.19,1267.03,92.82,2022-03-14,2024-06-07,,Completed
PRJ-095,Madhya Pradesh Primary Health Center Indore,"Construction of a new primary health center in Indore block, Madhya Pradesh, with staff quarters.",Ministry of Health and Family Welfare,Madhya Pradesh,Health,1357.3,1432.88,57.1,4.26,2026-05-31,2029-11-09,,Planning
PRJ-096,Rajasthan Wind Energy Project Phase 96,"Installation of wind turbines with 96 MW capacity in Ajmer district, Rajasthan.",Ministry of New and Renewable Energy,Rajasthan,Energy,3584.67,4084.99,3352.91,93.86,2021-03-22,2023-08-18,,Completed
PRJ-097,Maharashtra Rural Electrification Scheme 97,"Electrification of 57 un-electrified households in Pune district, Maharashtra.",Ministry of New and Renewable Energy,Maharashtra,Energy,1432.77,1611.1,1611.1,96.15,2019-10-12,2022-10-03,,Completed
PRJ-098,Rajasthan Rural Road Connectivity Phase 98,"Construction of rural all-weather roads connecting 69 villages in Jodhpur district, Rajasthan, under PMGSY.",Ministry of Road Transport and Highways,Rajasthan,Transport,1569.38,1598.06,1598.06,91.11,2022-08-01,2025-04-29,,Completed
PRJ-099,West Bengal District Hospital Upgrade Asansol,"Upgrading the district hospital in Asansol, West Bengal, with additional wards and modern equipment.",Ministry of Health and Family Welfare,West Bengal,Health,1244.33,1359.08,1359.08,90.86,2021-05-03,2022-11-10,,Completed
PRJ-100,West Bengal State Highway 100 Widening,"Widening and strengthening of state highway 100 in Durgapur district, West Bengal, from 2-lane to 4-lane configuration.",Ministry of Road Transport and Highways,West Bengal,Transport,4914.68,5101.67,5101.67,97.33,2023-06-03,2024-08-10,,Completed
